Date,Liturgical Color,Observance,MP Opening Sentence of Scripture,Antiphon,MP First Lesson,MP Second Lesson,"Psalms (MP, 60-day)",EP Opening Sentence of Scripture,EP First Lesson,EP Second Lesson,"Psalms (EP, 60-day)",Seasonal Collect,Special Collect,Seasonal Blessing,Remembrance
Jan 11,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.","Gen 11 † 1-9,27-32",John 6:1-21,"26, 28","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 10,1 Thess 4:1-12,31,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 12,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 12,John 6:22-40,"29, 30","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 11,1 Thess 4:13—5:11,33,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 13,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 13,John 6:41-end,34,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 12,1 Thess 5:12-end,35,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 14,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 14,John 7:1-24,"32, 36","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 13,2 Thess 1,38,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 15,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 15,John 7:25-52,37:1-17v,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 14,2 Thess 2,37:18-41v,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 16,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 16,John 7:53—8:30,40,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 15,2 Thess 3,"39, 41","Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 17,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 17,John 8:31-end,"42, 43","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 16,1 Cor 1:1-25,44,"Eternal Father, at the baptism of Jesus you revealed him to be your Son, and your Holy Spirit descended upon him like a dove: Grant that we, who are born again by water and the Spirit, may be faithful as your adopted children; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.",,"Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 18,White,2nd Sunday in Epiphany / Confession of Peter,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 18,Matt 16:13-20,45,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 17,1 Cor 1:26—2 end,46,"Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever. Amen.","Almighty Father, who inspired Simon Peter, first among the apostles, to confess Jesus as Messiah and Son of the living God: Keep your Church steadfast upon the rock of this faith, that in unity and peace we may proclaim the one truth and follow the one Lord, our Savior Jesus Christ; who lives and reigns with you and the Holy Spirit, one God, now and for ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 19,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 19 † 1-29,John 9,"47, 48","Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 18,1 Cor 3,49,"Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever. Amen.","Almighty God, whose only-begotten Son led captivity captive and gave gifts to your people: Multiply among us faithful pastors, who, like your holy bishop Wulfstan, will give courage to those who are oppressed and held in bondage; and bring us all, we pray, into the true freedom of your kingdom; through Jesus Christ our Lord, who lives and reigns with you and the Holy Spirit, one God, for ever and ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
Jan 20,Green,Epiphany,"From the rising of the sun to its setting my name will be great among the nations, and in every place incense will be offered to my name, and a pure offering. For my name will be great among the nations, says the Lord of hosts. malachi 1:11","The Lord has shown forth his glory: * O come, let us adore him.",Gen 20,John 10:1-21,50,"Nations shall come to your light, and kings to the brightness of your rising. isaiah 60:3",Jer 19,1 Cor 4:1-17,51,"Almighty God, whose Son our Savior Jesus Christ is the light of the world: Grant that your people, illumined by your Word and Sacraments, may shine with the radiance of Christ’s glory, that he may be known, worshiped, and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reigns, one God, now and for ever. Amen.","Grant, Almighty God, that in all times of trial and persecution, we might remain steadfast in faith and endurance, according to the example of your servant Fabian, who was faithful even unto death. We ask this for the sake of him who laid down his life for us all, Jesus Christ our Savior; who lives and reigns with you and the Holy Spirit, one God, for ever and ever. Amen.","Christ our Lord, to whom kings bowed down in worship and offered gifts, reveal to you his glory and pour upon you the riches of his grace; and the blessing of God Almighty, the Father, the Son, and the Holy Spirit, be among you, and remain with you always. Amen.",
